type,text
H1,All products
H3,A Light in the ...
H3,Tipping the Velvet
H3,Soumission
H3,Sharp Objects
H3,Sapiens: A Brief History ...
H3,The Requiem Red
H3,The Dirty Little Secrets ...
H3,The Coming Woman: A ...
H3,The Boys in the ...
H3,The Black Maria
H3,Starving Hearts (Triangular Trade ...
H3,Shakespeare's Sonnets
H3,Set Me Free
H3,Scott Pilgrim's Precious Little ...
H3,Rip it Up and ...
H3,Our Band Could Be ...
H3,Olio
H3,Mesaerion: The Best Science ...
H3,Libertarianism for Beginners
H3,It's Only the Himalayas
